"bodies.sorted","sentiment","stanza.sentiment","combination"
"Saturn",-0.613333333333333,-0.307692307692308,"Single"
"Jupiter",0.6,0,"Single"
"Mars",-0.430555555555556,-0.571428571428571,"Single"
"Sun",0.6,0,"Single"
"Venus",0.473684210526316,0.363636363636364,"Single"
"Mercury",0.188888888888889,0,"Single"
"Moon",0.25,-0.5,"Single"
"Saturn Jupiter",1,0,"Double"
"Saturn Mars",-0.714285714285714,-0.666666666666667,"Double"
"Saturn Sun",-0.333333333333333,-0.6,"Double"
"Saturn Venus",-0.384615384615385,0,"Double"
"Saturn Mercury",0.375,-0.333333333333333,"Double"
"Saturn Moon",-0.157894736842105,0.25,"Double"
"Jupiter Mars",0.571428571428571,1,"Double"
"Jupiter Sun",0.466666666666667,0.25,"Double"
"Jupiter Venus",0.875,1,"Double"
"Jupiter Mercury",1,0.4,"Double"
"Jupiter Moon",1,0.666666666666667,"Double"
"Mars Venus",-0.909090909090909,-0.666666666666667,"Double"
"Mars Mercury",-0.583333333333333,-0.6,"Double"
"Sun Venus",0.833333333333333,0.25,"Double"
"Sun Mercury",0.7,0,"Double"
"Sun Moon",0.909090909090909,0.5,"Double"
"Venus Mercury",0.5,0,"Double"
"Venus Moon",-0.538461538461539,0,"Double"
"Mercury Moon",0.625,0.75,"Double"
"Saturn Jupiter Mars",0.142857142857143,-0.2,"Triple"
"Saturn Jupiter Sun",-0.176470588235294,-0.8,"Triple"
"Saturn Jupiter Venus",0.111111111111111,0,"Triple"
"Saturn Jupiter Mercury",0.222222222222222,0.166666666666667,"Triple"
"Saturn Jupiter Moon",0.909090909090909,0,"Triple"
"Saturn Mars Sun",-0.684210526315789,-0.375,"Triple"
"Saturn Mars Venus",-0.315789473684211,-0.571428571428571,"Triple"
"Saturn Mars Mercury",-0.333333333333333,-0.285714285714286,"Triple"
"Saturn Mars Moon",-0.733333333333333,-1,"Triple"
"Saturn Sun Venus",-0.25,-0.333333333333333,"Triple"
"Saturn Venus Mercury",-0.19047619047619,-0.2,"Triple"
"Saturn Venus Moon",-0.714285714285714,-0.5,"Triple"
"Jupiter Mars Sun",-0.0666666666666667,-0.333333333333333,"Triple"
"Jupiter Mars Venus",0.0909090909090909,0.5,"Triple"
"Jupiter Mars Mercury",0.695652173913043,-0.333333333333333,"Triple"
"Jupiter Mars Moon",0.523809523809524,0,"Triple"
"Jupiter Sun Venus",0.521739130434783,0.166666666666667,"Triple"
"Jupiter Sun Mercury",0.5625,0.2,"Triple"
"Jupiter Sun Moon",-0.166666666666667,-1,"Triple"
"Jupiter Venus Mercury",0.857142857142857,0.333333333333333,"Triple"
"Jupiter Venus Moon",0.0357142857142858,0,"Triple"
"Jupiter Mercury Moon",0.939393939393939,0.75,"Triple"
"Mars Sun Venus",-0.25,-0.4,"Triple"
"Mars Sun Mercury",-0.294117647058824,-0.285714285714286,"Triple"
"Mars Sun Moon",0,-0.666666666666667,"Triple"
"Mars Venus Mercury",-0.0434782608695652,-0.333333333333333,"Triple"
"Mars Venus Moon",-0.526315789473684,-0.666666666666667,"Triple"
"Mars Mercury Moon",-0.363636363636364,-0.333333333333333,"Triple"
"Sun Venus Mercury",0.588235294117647,0.25,"Triple"
"Sun Venus Moon",0.0666666666666667,0,"Triple"
"Sun Mercury Moon",0.823529411764706,0.5,"Triple"
"Venus Mercury Moon",0.571428571428571,1,"Triple"
