"body.1","body.2","body.3","bodies.sorted","order.body.string","sentiment","mean.double.sentiment","mean.single.sentiment","mean.double.plus.single.sentiment","Saturn","Jupiter","Mars","Sun","Venus","Mercury","Moon","length"
"Saturn","Jupiter","Mars","Saturn Jupiter Mars","123",0.142857142857143,0.285714285714286,-0.147962962962963,0.046957671957672,1,1,1,0,0,0,0,76
"Saturn","Jupiter","Sun","Saturn Jupiter Sun","124",-0.176470588235294,0.377777777777778,0.195555555555556,0.451851851851852,1,1,0,1,0,0,0,76
"Saturn","Jupiter","Venus","Saturn Jupiter Venus","125",0.111111111111111,0.496794871794872,0.153450292397661,0.489091318038686,1,1,0,0,1,0,0,66
"Saturn","Jupiter","Mercury","Saturn Jupiter Mercury","126",0.222222222222222,0.791666666666667,0.0585185185185185,0.590740740740741,1,1,0,0,0,1,0,98
"Saturn","Jupiter","Moon","Saturn Jupiter Moon","127",0.909090909090909,0.614035087719298,0.0788888888888889,0.492690058479532,1,1,0,0,0,0,1,67
"Saturn","Mars","Sun","Saturn Mars Sun","134",-0.684210526315789,-0.523809523809524,-0.147962962962963,-0.149206349206349,1,0,1,1,0,0,0,73
"Saturn","Mars","Venus","Saturn Mars Venus","135",-0.315789473684211,-0.669330669330669,-0.190068226120858,-0.288325709378341,1,0,1,0,1,0,0,80
"Saturn","Mars","Mercury","Saturn Mars Mercury","136",-0.333333333333333,-0.307539682539683,-0.285,-0.142063492063492,1,0,1,0,0,1,0,118
"Saturn","Mars","Moon","Saturn Mars Moon","137",-0.733333333333333,-0.43609022556391,-0.26462962962963,-0.207393483709273,1,0,1,0,0,0,1,76
"Saturn","Sun","Venus","Saturn Sun Venus","145",-0.25,0.0384615384615385,0.153450292397661,0.183535762483131,1,0,0,1,1,0,0,62
"Saturn","Venus","Mercury","Saturn Venus Mercury","156",-0.19047619047619,0.163461538461538,0.0164132553606238,0.171937321937322,1,0,0,0,1,1,0,86
"Saturn","Venus","Moon","Saturn Venus Moon","157",-0.714285714285714,-0.360323886639676,0.0367836257309942,-0.156882591093117,1,0,0,0,1,0,1,68
"Jupiter","Mars","Sun","Jupiter Mars Sun","234",-0.0666666666666667,0.519047619047619,0.256481481481481,0.546031746031746,0,1,1,1,0,0,0,51
"Jupiter","Mars","Venus","Jupiter Mars Venus","235",0.0909090909090909,0.179112554112554,0.214376218323587,0.277303106250475,0,1,1,0,1,0,0,66
"Jupiter","Mars","Mercury","Jupiter Mars Mercury","236",0.695652173913043,0.329365079365079,0.119444444444444,0.282539682539682,0,1,1,0,0,1,0,68
"Jupiter","Mars","Moon","Jupiter Mars Moon","237",0.523809523809524,0.785714285714286,0.139814814814815,0.607142857142857,0,1,1,0,0,0,1,58
"Jupiter","Sun","Venus","Jupiter Sun Venus","245",0.521739130434783,0.725,0.557894736842105,0.641228070175439,0,1,0,1,1,0,0,79
"Jupiter","Sun","Mercury","Jupiter Sun Mercury","246",0.5625,0.722222222222222,0.462962962962963,0.544444444444444,0,1,0,1,0,1,0,55
"Jupiter","Sun","Moon","Jupiter Sun Moon","247",-0.166666666666667,0.791919191919192,0.483333333333333,0.611279461279461,0,1,0,1,0,0,1,63
"Jupiter","Venus","Mercury","Jupiter Venus Mercury","256",0.857142857142857,0.791666666666667,0.420857699805068,0.590740740740741,0,1,0,0,1,1,0,74
"Jupiter","Venus","Moon","Jupiter Venus Moon","257",0.0357142857142858,0.44551282051282,0.441228070175439,0.38034188034188,0,1,0,0,1,0,1,90
"Jupiter","Mercury","Moon","Jupiter Mercury Moon","267",0.939393939393939,0.875,0.346296296296296,0.666666666666667,0,1,0,0,0,1,1,69
"Mars","Sun","Venus","Mars Sun Venus","345",-0.25,-0.037878787878788,0.214376218323587,0.13264221158958,0,0,1,1,1,0,0,41
"Mars","Sun","Mercury","Mars Sun Mercury","346",-0.294117647058824,0.0583333333333333,0.119444444444444,0.101851851851852,0,0,1,1,0,1,0,78
"Mars","Sun","Moon","Mars Sun Moon","347",0,0.909090909090909,0.139814814814815,0.689393939393939,0,0,1,1,0,0,1,49
"Mars","Venus","Mercury","Mars Venus Mercury","356",-0.0434782608695652,-0.330808080808081,0.0773391812865497,-0.157575757575758,0,0,1,0,1,1,0,55
"Mars","Venus","Moon","Mars Venus Moon","357",-0.526315789473684,-0.723776223776224,0.0977095516569201,-0.399184149184149,0,0,1,0,1,0,1,61
"Mars","Mercury","Moon","Mars Mercury Moon","367",-0.363636363636364,0.0208333333333334,0.00277777777777779,0.0972222222222222,0,0,1,0,0,1,1,54
"Sun","Venus","Mercury","Sun Venus Mercury","456",0.588235294117647,0.677777777777778,0.420857699805068,0.514814814814815,0,0,0,1,1,1,0,48
"Sun","Venus","Moon","Sun Venus Moon","457",0.0666666666666667,0.401320901320901,0.441228070175439,0.350880600880601,0,0,0,1,1,0,1,55
"Sun","Mercury","Moon","Sun Mercury Moon","467",0.823529411764706,0.74469696969697,0.346296296296296,0.57979797979798,0,0,0,1,0,1,1,42
"Venus","Mercury","Moon","Venus Mercury Moon","567",0.571428571428571,0.19551282051282,0.304191033138402,0.213675213675214,0,0,0,0,1,1,1,43
