TRANSLATION,DOUBLE,SENTIMENT,SPECIFICITY,EXTRA INFO
benefits from legacies,Sa J,good,,
adoptions,Sa J,good,,
masters of property consisting of land,Sa J,good,,
guardians,Sa J,good,,
managers of others' property,Sa J,good,,
stewards,Sa J,good,,
tax gatherers,Sa J,good,,
reversals,Sa Mar,bad,,
ruin,Sa Mar,bad,,
family quarrels,Sa Mar,bad,,
disharmony,Sa Mar,bad,,
hatred,Sa Mar,bad,,
treachery,Sa Mar,bad,,
plots,Sa Mar,bad,,
malevolence,Sa Mar,bad,,
trials,Sa Mar,bad,,
distinguished,Sa Mar,good,,only if stars not in own/operative signs and have benefics in aspect
noble,Sa Mar,good,,only if stars not in own/operative signs and have benefics in aspect
unsteady in happiness,Sa Mar,bad,,only if stars not in own/operative signs and have benefics in aspect
prone to unexpected dangers,Sa Mar,bad,,only if stars not in own/operative signs and have benefics in aspect
prone to treachery,Sa Mar,bad,,only if stars not in own/operative signs and have benefics in aspect
productive,Sa Mer,good,,
slanders about religion,Sa Mer,bad,,
lawsuits,Sa Mer,bad,,
debts,Sa Mer,bad,,
alarms due to documents,Sa Mer,bad,,
alarms due to money,Sa Mer,bad,,
not without resources,Sa Mer,good,,
not unintelligent,Sa Mer,good,,
much experience,Sa Mer,good,,
witnesses to much,Sa Mer,good,,
with much awareness,Sa Mer,good,,
curious,Sa Mer,good,,
far-seeing,Sa Mer,good,,
seekers after mystic lore,Sa Mer,good,,
revering the gods,Sa Mer,good,,
much on consciences,Sa Mer,good,,
beneficial for business,Sa V,good,,
success in entanglements,Sa V,good,,
success in marriage,Sa V,good,,
sympathetic not until the end,Sa V,good,,
helpful not until the end,Sa V,bad,,
abuse,Sa V,bad,,
divorces,Sa V,bad,,
inconstancy,Sa V,bad,,
death,Sa V,bad,,
entangling people with base-born,Sa V,bad,,
entangling people with the lowly,Sa V,bad,,
falling into harm,Sa V,bad,,
falling into lawsuits,Sa V,bad,,
helpful not until the end,Sa Moo,bad,,
productive of money,Sa Moo,good,,
possessions,Sa Moo,good,,
estates,Sa Moo,good,,
ship ownership,Sa Moo,good,,
profits from deceased,Sa Moo,good,,esp if moon is in part of its orbit following first visibility and has benefics in aspect
association with great,Sa Moo,good,,
gifts,Sa Moo,good,,
discomfiture of enemies,Sa Moo,good,,
unsteady with respect to possessions,Sa Moo,bad,,
insecure with respect to women,Sa Moo,bad,,
painful because of separations with respect to wife,Sa Moo,bad,,
painful because of hatred with respect to wife,Sa Moo,bad,,
painful because of grief with respect to wife,Sa Moo,bad,,
bodily suffering,Sa Moo,bad,,
sudden fits,Sa Moo,bad,,
pains of the governing faculties,Sa Moo,bad,,
pains of the nerves,Sa Moo,bad,,
deaths of important figures,Sa Moo,bad,,
giving and taking away possessions maliciously,Sa Su,bad,,
giving and taking away friendships maliciously,Sa Su,bad,,
suffer secret enmities from the great,Sa Su,bad,,
suffer secret threats from the great,Sa Su,bad,,
plotted against,Sa Su,bad,,
live hated to the end,Sa Su,bad,,
play their part well,Sa Su,good,,
outlive most of their enemies,Sa Su,good,,
not without resources,Sa Su,good,,
disturbed,Sa Su,bad,,
long-suffering,Sa Su,bad,,
self-controlled in onslaught of reversals,Sa Su,good,,
noble,J Su,good,,
distinguished,J Su,good,,
rulers,J Su,good,,
governors,J Su,good,,
dictators,J Su,good,,
vigorous,J Su,good,,
honoured by the crowd,J Su,good,,
blessed by the crowd,J Su,good,,
wealthy,J Su,good,,
rich,J Su,good,,
living with much spectable,J Su,good,,
sometimes involved in uncertainties,J Su,bad,,
sometimes involved in hostility,J Su,bad,,
resort to greater showiness,J Su,bad,,esp if Jpiter is setting
make a pretence of the truth,J Su,bad,,esp if Jpiter is setting
